clsprty,stfeco,gndr,agea,edulvlb,
1,8,1,43,322,
1,8,1,67,322,
1,5,2,40,213,
1,6,1,63,322,
1,7,2,71,212,
1,9,1,64,322,
1,1,1,56,322,
2,7,2,74,322,
2,8,1,37,322,
1,7,2,22,322,
2,10,1,48,322,
1,5,2,59,313,
2,6,1,77,322,
2,9,2,41,322,
2,9,1,62,322,
2,7,1,27,313,
1,9,1,59,322,
2,5,2,60,322,
2,6,1,49,322,
2,7,1,42,620,
2,8,1,59,313,
1,6,1,50,212,
1,88,2,43,423,
1,88,2,30,322,
1,8,1,59,322,
1,10,1,19,322,
2,5,2,70,710,
1,7,1,70,423,
2,3,1,46,520,
1,8,1,35,710,
2,8,1,36,322,
1,9,1,67,322,
1,10,2,23,322,
2,8,1,49,423,
2,6,2,68,212,
2,6,1,58,322,
1,5,2,44,322,
1,6,2,62,322,
1,7,1,50,322,
1,8,1,72,322,
2,9,2,73,422,
1,6,1,45,322,
2,6,2,41,322,
1,8,1,33,322,
2,6,2,39,423,
2,7,2,50,322,
2,7,1,47,720,
2,3,1,60,212,
2,7,2,39,710,
1,8,2,31,322,
1,8,1,71,322,
1,7,2,49,313,
1,8,1,49,322,
2,6,2,76,212,
2,8,2,36,322,
1,6,2,30,720,
1,7,2,46,610,
2,7,2,50,322,
2,10,2,46,212,
2,9,2,40,322,
1,4,2,48,322,
1,9,1,77,322,
2,6,2,73,212,
2,7,2,54,322,
1,7,1,25,423,
1,7,2,78,212,
1,8,2,57,212,
2,6,2,41,720,
2,9,2,76,322,
2,5,1,18,322,
1,7,2,32,422,
1,7,1,78,423,
2,88,2,29,322,
2,4,2,54,322,
1,5,2,70,322,
2,5,1,57,322,
1,7,2,78,322,
1,9,2,42,720,
2,6,2,73,322,
2,8,2,60,212,
1,7,2,39,322,
2,6,1,72,322,
2,8,1,65,322,
1,7,2,26,423,
1,8,2,60,313,
2,4,1,51,322,
1,8,2,60,322,
2,9,2,36,423,
2,5,1,55,322,
8,10,2,72,213,
1,8,1,50,322,
2,7,2,27,423,
2,7,2,63,423,
2,8,2,49,213,
1,7,1,69,322,
2,8,2,36,322,
1,8,2,32,710,
2,8,1,32,322,
1,7,2,56,322,
2,4,1,24,322,
2,8,2,46,610,
2,6,2,59,322,
2,7,2,59,423,
2,3,2,50,322,
2,3,1,69,720,
1,6,1,75,322,
1,6,1,74,322,
1,7,2,79,212,
1,7,2,26,322,
1,8,1,70,313,
1,8,1,69,212,
2,7,2,50,322,
1,8,1,44,720,
2,4,2,54,212,
1,9,2,52,322,
2,8,1,33,322,
2,6,1,39,313,
2,8,2,61,313,
1,4,2,34,422,
1,8,2,31,720,
1,5,1,62,322,
2,5,2,24,322,
1,8,1,74,322,
2,5,1,35,212,
2,7,1,61,212,
1,10,1,26,322,
1,7,2,45,720,
1,6,2,49,610,
2,7,2,86,212,
2,88,1,23,212,
2,8,1,68,322,
2,8,1,67,423,
1,5,2,69,313,
1,4,1,41,322,
1,9,1,18,212,
1,5,2,85,212,
2,8,1,21,313,
1,7,1,75,322,
2,6,2,51,322,
1,9,2,48,720,
2,5,2,71,212,
1,6,2,77,423,
1,9,1,40,313,
1,7,1,33,322,
1,7,1,60,313,
1,6,1,46,322,
2,10,2,78,800,
2,5,2,26,422,
1,5,2,40,322,
1,6,1,47,113,
1,5,2,34,710,
1,7,2,65,610,
1,4,1,49,322,
2,9,2,58,322,
1,8,1,38,313,
2,8,1,17,212,
2,8,2,24,423,
2,6,2,28,322,
1,7,2,87,212,
2,6,2,60,322,
1,5,2,79,322,
2,8,1,50,720,
1,8,2,61,422,
1,8,1,82,212,
1,5,1,65,322,
1,7,1,30,322,
1,7,1,55,520,
1,9,1,56,322,
2,6,2,34,423,
2,7,1,34,710,
1,10,2,46,720,
1,9,2,27,322,
2,88,2,30,322,
2,8,1,57,322,
2,4,2,45,212,
2,6,2,42,313,
1,8,2,90,212,
2,6,2,78,212,
2,10,1,27,322,
1,8,2,77,322,
1,9,1,67,322,
1,2,2,62,322,
1,6,1,66,322,
2,6,2,67,322,
1,7,2,36,423,
1,8,1,50,313,
2,88,2,52,423,
2,9,2,16,212,
1,8,1,55,423,
1,8,2,74,212,
1,7,1,38,322,
2,7,2,44,322,
1,9,2,83,212,
2,3,2,66,520,
2,7,2,59,322,
1,7,2,71,212,
2,6,2,39,322,
2,7,1,41,322,
1,5,2,59,322,
2,9,1,21,313,
1,5,2,71,322,
2,7,2,38,322,
1,5,2,24,322,
2,7,1,73,322,
2,5,1,66,800,
1,10,2,25,620,
1,7,1,23,212,
1,6,1,70,720,
1,9,2,68,322,
2,3,1,65,322,
1,7,2,58,720,
1,5,2,55,322,
2,7,2,61,322,
1,8,2,48,322,
2,4,2,41,322,
2,8,2,60,520,
2,7,1,70,212,
1,8,2,18,213,
1,10,2,72,322,
2,8,2,34,423,
2,9,1,26,322,
2,8,2,63,212,
1,8,1,52,423,
2,8,1,62,322,
1,7,2,24,313,
2,6,1,29,322,
1,8,1,70,212,
2,5,2,65,322,
2,7,2,31,322,
1,7,2,44,322,
2,9,2,16,212,
1,8,1,75,720,
2,7,2,76,212,
2,7,2,49,322,
1,6,2,42,322,
2,6,2,20,322,
2,8,2,26,322,
2,8,1,63,322,
2,7,1,55,322,
1,5,2,75,322,
2,8,1,38,423,
